Model,Year,Sales_Volume
5 Series,2016,8300
i8,2013,3428
5 Series,2022,6994
X3,2024,4047
7 Series,2020,3080
5 Series,2017,1232
i8,2022,7949
M5,2014,632
X3,2016,8944
i8,2019,4411
3 Series,2012,500
i8,2016,8252
7 Series,2020,8111
5 Series,2020,4668
X1,2017,7291
M3,2014,7765
X5,2013,5561
M5,2017,9755
5 Series,2017,4880
X5,2012,7104
X3,2015,8635
X1,2014,1113
M5,2011,9383
7 Series,2017,7521
X5,2021,6273
X3,2023,4645
M3,2015,8897
X1,2011,6481
M5,2021,9469
M3,2014,1440
i8,2010,5006
i8,2021,448
M5,2019,4091
i8,2015,3384
X1,2022,4926
M5,2021,4561
X3,2018,8046
i8,2010,2278
M3,2020,3929
X5,2020,7110
i3,2024,173
M5,2019,5946
X5,2021,2913
X5,2021,7627
X5,2024,2155
i8,2023,7168
i3,2023,8283
5 Series,2024,648
X6,2023,7933
i3,2012,8438
X3,2021,6782
M3,2016,3153
i8,2013,5887
i3,2018,608
i8,2012,3291
M5,2014,3754
X5,2012,4125
X6,2016,9762
M3,2014,9390
3 Series,2018,3293
M3,2016,9470
X6,2011,5425
i8,2013,425
X6,2018,4935
3 Series,2021,660
3 Series,2023,4266
M3,2011,2191
X3,2019,1932
7 Series,2018,6962
3 Series,2019,1703
X6,2014,8589
5 Series,2011,2011
7 Series,2013,1564
i3,2021,945
X1,2024,4289
i3,2021,3748
X1,2016,3476
X3,2021,5759
X3,2022,9420
M3,2017,9797
M5,2024,7944
7 Series,2012,6709
7 Series,2023,4823
X6,2010,1048
i8,2013,9545
M5,2011,2167
M5,2017,3140
X6,2013,7821
i8,2011,2085
X3,2023,8030
i8,2015,5409
X5,2015,4367
X3,2019,1472
i3,2013,455
i3,2015,7218
X6,2022,3389
X5,2024,8581
i8,2011,1431
X5,2019,2775
X1,2021,4601
3 Series,2011,6698
M5,2019,6056
i3,2023,6301
M5,2013,8734
X1,2023,8644
7 Series,2024,5456
7 Series,2024,8472
i8,2017,5940
7 Series,2023,2241
7 Series,2016,8663
X3,2021,8293
i8,2018,8445
i3,2023,190
7 Series,2017,7462
M3,2014,8339
i8,2022,4055
5 Series,2011,3683
3 Series,2024,1180
X6,2014,9100
X5,2017,6844
M5,2019,8882
X6,2018,2914
3 Series,2021,4548
5 Series,2021,271
X3,2021,2451
7 Series,2022,4212
X5,2018,3275
M3,2022,7337
X6,2024,8345
X3,2022,2162
i8,2010,8396
5 Series,2018,1299
X5,2016,3880
X6,2018,5637
X5,2017,8394
X6,2010,5935
7 Series,2021,5908
X6,2017,3147
M5,2017,1732
i3,2024,719
i3,2020,1460
M5,2012,3235
M5,2010,7139
i3,2017,2694
X5,2012,3403
i3,2012,8216
3 Series,2010,8650
3 Series,2020,8070
X6,2014,169
5 Series,2019,6353
i3,2016,8634
M5,2019,1684
7 Series,2018,5312
M3,2021,7059
X1,2016,9620
3 Series,2018,8157
7 Series,2017,8666
X1,2021,2600
5 Series,2011,9334
5 Series,2010,1344
5 Series,2016,8291
X3,2016,7553
M5,2023,9645
3 Series,2017,9474
X3,2014,8000
5 Series,2012,6584
7 Series,2021,6249
i8,2017,1697
i3,2015,6072
3 Series,2020,1142
7 Series,2012,9856
i3,2010,7607
X3,2012,8333
M5,2014,3877
3 Series,2024,4956
X5,2023,5598
X1,2012,6791
i3,2010,968
X1,2014,8217
3 Series,2019,5548
M5,2016,148
3 Series,2024,6447
X3,2023,6673
X5,2016,8127
X6,2020,9970
i3,2018,9832
X1,2024,3880
5 Series,2024,9951
5 Series,2019,7403
i8,2019,8537
X3,2021,4249
7 Series,2022,271
3 Series,2012,6974
X1,2024,2922
X1,2016,3433
X5,2010,6620
3 Series,2013,1476
3 Series,2022,4129
i3,2013,9128
3 Series,2023,3507
X1,2014,9106
3 Series,2016,3222
X5,2016,9331
X5,2022,5761
i3,2024,6920
5 Series,2020,6897
X3,2022,5139
M5,2013,1396
X3,2022,491
3 Series,2016,6640
X5,2020,8960
X1,2012,5542
3 Series,2015,7342
X1,2021,1057
M3,2011,7431
M5,2019,6150
X3,2022,9536
X3,2023,5141
M3,2018,1659
X3,2014,4699
M3,2015,6588
X3,2021,1474
X6,2021,2428
3 Series,2021,5065
5 Series,2021,9087
3 Series,2013,5817
X1,2023,3445
X5,2023,3372
i8,2020,7327
X3,2019,808
X1,2016,3076
X1,2021,6636
7 Series,2018,3606
i8,2016,1206
X1,2023,7058
i8,2010,9368
7 Series,2010,2069
i8,2018,6121
X6,2020,9792
X5,2023,9612
7 Series,2018,8022
X6,2013,3205
M5,2022,249
X3,2018,7350
X1,2012,3581
M5,2016,381
M5,2015,3880
3 Series,2017,2815
5 Series,2020,9239
X1,2018,1036
3 Series,2023,5315
M3,2014,2976
X3,2010,1311
X1,2012,5952
i8,2019,3778
3 Series,2021,4298
5 Series,2017,8127
M3,2024,8772
X3,2020,3430
i3,2015,8483
7 Series,2017,6825
X1,2018,9134
X1,2013,125
X5,2010,5236
X5,2023,2466
7 Series,2010,4350
X1,2019,7920
i8,2013,113
M3,2021,2275
7 Series,2023,1714
X5,2016,9847
3 Series,2011,4182
M5,2012,3244
X3,2010,6461
M3,2014,9520
X3,2010,4579
X5,2017,7530
X5,2010,9850
M3,2020,9122
7 Series,2010,1916
