Year,Region,Sales_Volume
2016,Asia,8300
2013,North America,3428
2022,North America,6994
2024,Middle East,4047
2020,South America,3080
2017,Middle East,1232
2022,Europe,7949
2014,Asia,632
2016,South America,8944
2019,Europe,4411
2012,Middle East,500
2016,North America,8252
2020,North America,8111
2020,Africa,4668
2017,Asia,7291
2014,North America,7765
2013,Asia,5561
2017,North America,9755
2017,North America,4880
2012,Africa,7104
2015,North America,8635
2014,Africa,1113
2011,Europe,9383
2017,North America,7521
2021,South America,6273
2023,Middle East,4645
2015,Asia,8897
2011,North America,6481
2021,Asia,9469
2014,Asia,1440
2010,South America,5006
2021,South America,448
2019,Asia,4091
2015,Asia,3384
2022,Middle East,4926
2021,South America,4561
2018,Middle East,8046
2010,Middle East,2278
2020,Africa,3929
2020,Middle East,7110
2024,Middle East,173
2019,South America,5946
2021,Africa,2913
2021,Middle East,7627
2024,South America,2155
2023,Europe,7168
2023,North America,8283
2024,Asia,648
2023,Africa,7933
2012,Asia,8438
2021,Asia,6782
2016,Africa,3153
2013,Middle East,5887
2018,South America,608
2012,Middle East,3291
2014,South America,3754
2012,Middle East,4125
2016,South America,9762
2014,Europe,9390
2018,Africa,3293
2016,South America,9470
2011,Middle East,5425
2013,South America,425
2018,Asia,4935
2021,North America,660
2023,Europe,4266
2011,Asia,2191
2019,Asia,1932
2018,Middle East,6962
2019,South America,1703
2014,Europe,8589
2011,Middle East,2011
2013,Asia,1564
2021,South America,945
2024,Europe,4289
2021,North America,3748
2016,Europe,3476
2021,North America,5759
2022,Middle East,9420
2017,North America,9797
2024,North America,7944
2012,South America,6709
2023,North America,4823
2010,Europe,1048
2013,Middle East,9545
2011,North America,2167
2017,South America,3140
2013,South America,7821
2011,Middle East,2085
2023,Europe,8030
2015,Middle East,5409
2015,Middle East,4367
2019,North America,1472
2013,Africa,455
2015,Asia,7218
2022,Asia,3389
2024,Asia,8581
2011,Europe,1431
2019,Africa,2775
2021,Asia,4601
2011,Middle East,6698
2019,Europe,6056
2023,Africa,6301
2013,Asia,8734
2023,Middle East,8644
2024,North America,5456
2024,Africa,8472
2017,Asia,5940
2023,Europe,2241
2016,Africa,8663
2021,Africa,8293
2018,Europe,8445
2023,North America,190
2017,Middle East,7462
2014,Middle East,8339
2022,South America,4055
2011,Europe,3683
2024,South America,1180
2014,Europe,9100
2017,South America,6844
2019,Asia,8882
2018,North America,2914
2021,Africa,4548
2021,Asia,271
2021,Middle East,2451
2022,North America,4212
2018,Middle East,3275
2022,Asia,7337
2024,North America,8345
2022,Asia,2162
2010,North America,8396
2018,Middle East,1299
2016,Europe,3880
2018,Europe,5637
2017,South America,8394
2010,Africa,5935
2021,South America,5908
2017,South America,3147
2017,Asia,1732
2024,South America,719
2020,South America,1460
2012,Europe,3235
2010,South America,7139
2017,North America,2694
2012,North America,3403
2012,Africa,8216
2010,Asia,8650
2020,North America,8070
2014,Middle East,169
2019,South America,6353
2016,North America,8634
2019,Europe,1684
2018,Middle East,5312
2021,North America,7059
2016,Africa,9620
2018,Asia,8157
2017,Europe,8666
2021,Africa,2600
2011,Europe,9334
2010,Europe,1344
2016,Europe,8291
2016,South America,7553
2023,Asia,9645
2017,Europe,9474
2014,Middle East,8000
2012,Asia,6584
2021,Europe,6249
2017,Middle East,1697
2015,Middle East,6072
2020,South America,1142
2012,North America,9856
2010,Africa,7607
2012,North America,8333
2014,Africa,3877
2024,Africa,4956
2023,South America,5598
2012,Europe,6791
2010,Africa,968
2014,South America,8217
2019,Africa,5548
2016,Asia,148
2024,South America,6447
2023,South America,6673
2016,North America,8127
2020,Europe,9970
2018,Asia,9832
2024,Asia,3880
2024,Middle East,9951
2019,Middle East,7403
2019,Middle East,8537
2021,Europe,4249
2022,Middle East,271
2012,South America,6974
2024,Middle East,2922
2016,Africa,3433
2010,Asia,6620
2013,South America,1476
2022,South America,4129
2013,Asia,9128
2023,Asia,3507
2014,Europe,9106
2016,Europe,3222
2016,Africa,9331
2022,Africa,5761
2024,Middle East,6920
2020,South America,6897
2022,Africa,5139
2013,North America,1396
2022,Europe,491
2016,Africa,6640
2020,Europe,8960
2012,Middle East,5542
2015,Europe,7342
2021,South America,1057
2011,South America,7431
2019,Europe,6150
2022,North America,9536
2023,Asia,5141
2018,Asia,1659
2014,South America,4699
2015,Africa,6588
2021,Asia,1474
2021,South America,2428
2021,Asia,5065
2021,Asia,9087
2013,Asia,5817
2023,Asia,3445
2023,Asia,3372
2020,North America,7327
2019,Middle East,808
2016,Middle East,3076
2021,North America,6636
2018,Asia,3606
2016,North America,1206
2023,Asia,7058
2010,South America,9368
2010,Asia,2069
2018,Asia,6121
2020,South America,9792
2023,North America,9612
2018,Africa,8022
2013,Asia,3205
2022,North America,249
2018,Africa,7350
2012,North America,3581
2016,North America,381
2015,North America,3880
2017,North America,2815
2020,Europe,9239
2018,Africa,1036
2023,South America,5315
2014,Africa,2976
2010,North America,1311
2012,Africa,5952
2019,Africa,3778
2021,South America,4298
2017,Europe,8127
2024,Africa,8772
2020,Asia,3430
2015,Asia,8483
2017,North America,6825
2018,Asia,9134
2013,South America,125
2010,Africa,5236
2023,South America,2466
2010,South America,4350
2019,Europe,7920
2013,Europe,113
2021,Asia,2275
2023,Asia,1714
2016,North America,9847
2011,Asia,4182
2012,Asia,3244
2010,Middle East,6461
2014,Europe,9520
2010,South America,4579
2017,Africa,7530
2010,North America,9850
2020,South America,9122
2010,South America,1916
2011,South America,3813
2011,North America,6205
2021,South America,6688
2015,Europe,1402
2016,Middle East,8273
2014,Europe,7577
2010,Europe,9098
2010,Europe,4427
2012,North America,9311
2023,Africa,3182
2011,Africa,5797
2014,Africa,577
2021,Europe,3288
2019,South America,7041
2015,Africa,5284
2016,Europe,9454
2013,Asia,6935
2016,Middle East,5058
2020,South America,7793
2017,North America,2353
2020,Asia,4643
2010,Africa,1252
2024,South America,1675
2015,Asia,6177
2017,Middle East,4669
2014,South America,5178
2013,Asia,8254
2011,South America,6712
2015,Asia,2845
2015,North America,4997
2020,Middle East,7286
2024,South America,9124
2010,Europe,5045
2018,South America,4709
2021,Europe,1482
2020,Africa,3134
2015,Middle East,6856
2022,Middle East,3730
2012,Europe,8190
2013,Africa,9067
2021,South America,5726
2020,Asia,3284
2013,Europe,7254
2012,Middle East,2377
2019,Asia,1883
2012,South America,520
2024,Europe,8913
2012,Africa,2353
2013,South America,6169
2016,Africa,113
2013,Europe,2353
2018,Africa,8132
2010,Europe,1718
2017,Africa,5481
2016,Europe,7436
2011,Europe,6327
2017,Asia,5415
2010,North America,2737
2020,Europe,4488
2021,North America,1849
2018,Asia,6300
2018,Europe,3108
2011,Africa,2792
2016,Middle East,3901
2024,Asia,897
2023,Europe,3108
2019,Africa,9003
2012,Africa,9454
2016,Africa,7064
2021,North America,4585
2019,North America,4515
2018,Asia,9586
2013,Middle East,9597
2021,Africa,9156
2010,South America,8440
2011,North America,2463
2010,South America,3398
2023,South America,8066
2021,Asia,5829
2014,Middle East,6254
2014,North America,7608
2020,South America,2156
2016,South America,5098
2018,Asia,5095
2018,North America,305
2012,Europe,5960
2012,Europe,3990
2012,Middle East,6844
2013,Middle East,2781
2017,Africa,1386
2015,North America,7571
2017,South America,5863
2010,North America,7163
2017,South America,5037
2013,Middle East,8943
2020,Asia,288
2010,North America,5184
2017,Europe,8167
2013,South America,2195
2015,Middle East,3657
2017,South America,9121
2013,Africa,4751
2023,Europe,874
2012,North America,9890
2023,South America,7301
2018,Europe,4242
2012,Europe,3324
2018,Africa,9284
2022,North America,5387
2011,Africa,3309
2023,Europe,7111
2011,Middle East,1625
2011,Africa,489
2015,Asia,7118
2012,Middle East,8924
2022,South America,642
2018,Africa,4366
2013,Asia,1404
2010,Africa,8358
2013,South America,3816
2010,North America,9680
2023,South America,7109
2014,South America,6211
2013,South America,1866
2017,Europe,143
2017,South America,5802
2016,Asia,5924
2012,South America,9184
2010,Asia,4936
2010,Africa,2849
2021,Asia,5903
2020,South America,4541
2012,Europe,9131
2015,Europe,3220
2016,Africa,1909
2015,Asia,6657
2023,Europe,9966
2023,South America,2930
2015,Middle East,9525
2015,Africa,8543
2022,Africa,2452
2012,Middle East,6148
2015,Africa,8981
2017,North America,241
2020,Middle East,5760
2020,North America,6726
2011,North America,8241
2014,Middle East,4321
2023,Asia,6736
2010,Africa,9841
2021,Middle East,904
2024,Middle East,4431
2010,Africa,7521
2014,South America,4611
2021,North America,6866
2022,Middle East,8095
2012,Middle East,1818
2013,North America,1054
2012,South America,3307
2010,Middle East,6000
2010,Africa,7103
2021,North America,1942
2021,Europe,2018
2023,South America,5122
2022,Africa,2118
2023,North America,9240
2014,South America,8800
2015,Europe,3942
2012,Europe,6344
2021,South America,634
2018,South America,398
2014,Asia,7978
2017,Europe,6565
2022,South America,9374
2010,North America,2613
2023,South America,5453
2014,Middle East,867
2024,Africa,6665
2012,Africa,101
2021,South America,4938
2010,Africa,5754
2013,Africa,1560
2024,South America,4545
2022,Middle East,5532
2014,Africa,6074
2016,Africa,9417
2010,South America,3588
2012,South America,1251
2011,Asia,9105
2018,Africa,7876
2019,Asia,7317
2024,Middle East,1983
2015,Middle East,5817
2019,Middle East,7231
2012,Asia,222
2017,Europe,7313
2023,Middle East,1786
2017,North America,8514
2011,South America,9968
2024,Europe,8047
2015,South America,5839
2016,South America,1339
2011,Middle East,9462
2024,Europe,7270
2020,North America,2879
2019,South America,2165
2011,Africa,4455
2019,Europe,2035
2010,Europe,7510
2017,North America,9025
2010,Africa,5113
2018,Europe,7616
2020,South America,6688
2015,North America,9390
2016,North America,3539
2022,Asia,7315
2019,Africa,9879
2016,Europe,8533
2019,Africa,335
2012,Middle East,993
